x     y
0     4.835
0.04  4.92
0.1   5.143
0.12  5.227
0.22  5.591
0.24  5.638
0.26  5.704
0.32  5.906
0.34  6.023
0.36  6.026
0.42  6.262
0.44  6.331
0.46  6.399
0.52  6.614
0.58  6.86
0.6   6.872
0.62  6.98
0.64  7.025
0.7   7.3
0.72  7.323
0.8   7.631
0.82  7.654
0.84  7.77
0.9   7.91
1     8.256
1.08  8.556
1.1   8.615
1.12  8.715
1.14  8.777
1.16  8.873
1.22  9.106
1.24  9.119
1.34  9.476
1.48  9.958
1.5   10.032
1.52  10.083
1.54  10.171
1.58  10.337
1.6   10.366
1.62  10.468
1.7   10.751
1.72  10.8
1.74  10.845
1.76  10.955
1.8   11.051
1.88  11.361
1.9   11.433
1.92  11.475
1.98  11.768
2.04  11.973
2.2   12.536
2.22  12.57
2.24  12.665
